"lsoa11","lsoa_area","surface_flooding_area_1_in_100","surface_flooding_area_1_in_100_pct"
"E01000098",175360.978681835,19268.3743704731,0.109878346456041
"E01000099",309933.139565764,22827.711236961,0.0736536637190332
"E01000100",211459.649427099,16285.4493005691,0.0770144533233205
"E01000101",163850.031699717,19555.6470781477,0.119350889806276
"E01000102",252863.146452126,22854.9218871514,0.090384550725657
"E01000103",701238.169109116,107351.682228606,0.153088760648882
"E01000104",220114.824510427,22821.2060476512,0.103678641810743
"E01000105",220860.413735699,17503.7691692801,0.0792526323446384
"E01000106",219424.766070595,15009.7571780747,0.0684050275949509
"E01000107",536103.34075689,104722.841305041,0.195340773585162
"E01000108",242127.750669592,37607.2938637056,0.155320048031275
"E01000109",375319.589615019,25747.3126616237,0.0686010359545416
"E01000110",194635.808538476,8414.99970201089,0.0432345916468264
