"LSOA21CD","LSOA11CD","postcode_count","postcode_pct"
"E01000431","E01000431",23,1
"E01000433","E01000433",31,1
"E01000434","E01000434",25,1
"E01000435","E01000435",18,1
"E01000436","E01000436",32,1
"E01000437","E01000437",15,0.9375
"E01000437","E01000440",1,0.0625
"E01000438","E01000438",22,0.956521739130435
"E01000438","E01000439",1,0.0434782608695652
"E01000439","E01000439",27,1
"E01000440","E01000440",18,1
"E01000441","E01000441",29,1
"E01000442","E01000442",27,1
"E01000443","E01000443",21,1
"E01000444","E01000444",39,1
"E01000445","E01000445",36,1
"E01000446","E01000446",19,1
"E01000447","E01000447",51,1
"E01000448","E01000448",24,1
"E01000449","E01000449",42,1
"E01000450","E01000450",27,1
"E01000451","E01000451",23,1
"E01000452","E01000452",18,1
"E01000453","E01000453",24,1
"E01000454","E01000454",24,1
"E01000455","E01000455",24,1
"E01000456","E01000456",22,1
"E01000457","E01000457",70,0.985915492957746
"E01000457","E01000462",1,0.0140845070422535
"E01000458","E01000458",28,1
"E01000459","E01000457",2,0.0363636363636364
"E01000459","E01000459",53,0.963636363636364
"E01000460","E01000460",29,1
"E01000461","E01000461",24,1
"E01000462","E01000462",74,1
"E01000463","E01000463",14,1
"E01000464","E01000464",15,1
"E01000465","E01000465",23,1
"E01000466","E01000466",31,1
"E01000467","E01000467",20,1
"E01000468","E01000468",41,1
"E01000469","E01000469",21,1
"E01000470","E01000470",37,1
"E01000471","E01000471",20,1
"E01000472","E01000472",48,1
"E01000473","E01000473",36,0.972972972972973
"E01000473","E01000478",1,0.027027027027027
"E01000474","E01000474",21,1
"E01000475","E01000475",29,1
"E01000476","E01000476",24,0.96
"E01000476","E01000478",1,0.04
"E01000477","E01000477",42,1
"E01000478","E01000473",1,0.024390243902439
"E01000478","E01000478",40,0.975609756097561
"E01000479","E01000479",38,1
"E01000480","E01000480",40,1
"E01000481","E01000481",34,1
"E01000483","E01000483",30,1
"E01000484","E01000484",19,1
"E01000485","E01000485",30,1
"E01000486","E01000486",28,1
"E01000487","E01000487",37,1
"E01000488","E01000488",23,1
"E01000489","E01000489",31,1
"E01000490","E01000490",30,1
"E01000491","E01000491",40,1
"E01000492","E01000492",19,1
"E01000493","E01000493",36,1
"E01000494","E01000494",42,1
"E01000495","E01000494",2,0.0606060606060606
"E01000495","E01000495",31,0.939393939393939
"E01000497","E01000497",44,1
"E01000498","E01000498",20,0.952380952380952
"E01000498","E01000499",1,0.0476190476190476
"E01000499","E01000499",56,1
"E01000501","E01000501",28,1
"E01000502","E01000502",28,1
"E01000503","E01000503",33,1
"E01000504","E01000504",26,1
"E01000505","E01000505",22,1
"E01000506","E01000506",42,1
"E01000507","E01000507",29,1
"E01000508","E01000508",36,1
"E01000509","E01000509",18,1
"E01000510","E01000510",27,0.964285714285714
"E01000510","E01000511",1,0.0357142857142857
"E01000511","E01000506",1,0.03125
"E01000511","E01000511",31,0.96875
"E01000512","E01000506",1,0.0303030303030303
"E01000512","E01000512",32,0.96969696969697
"E01000513","E01000513",30,1
"E01000514","E01000514",30,1
"E01000515","E01000515",37,0.973684210526316
"E01000515","E01000518",1,0.0263157894736842
"E01000516","E01000516",43,1
"E01000517","E01000517",28,1
"E01000518","E01000514",1,0.0256410256410256
"E01000518","E01000518",38,0.974358974358974
"E01000519","E01000519",36,1
"E01000520","E01000520",39,1
"E01000521","E01000521",37,0.973684210526316
"E01000521","E01000524",1,0.0263157894736842
"E01000522","E01000522",22,1
"E01000523","E01000523",38,1
"E01000524","E01000524",38,1
"E01000525","E01000525",80,1
"E01000526","E01000526",27,1
"E01000527","E01000527",34,1
"E01000528","E01000528",29,1
"E01000530","E01000530",29,1
"E01000531","E01000530",1,0.0434782608695652
"E01000531","E01000531",22,0.956521739130435
"E01000532","E01000532",25,1
"E01000533","E01000533",37,0.973684210526316
"E01000533","E01000535",1,0.0263157894736842
"E01000534","E01000534",24,1
"E01000535","E01000535",39,1
"E01000536","E01000536",40,1
"E01000538","E01000538",29,1
"E01000539","E01000539",30,1
"E01000540","E01000540",30,1
"E01000541","E01000541",30,1
"E01000543","E01000543",27,1
"E01000544","E01000544",19,1
"E01000545","E01000545",33,0.970588235294118
"E01000545","E01000546",1,0.0294117647058824
