"lsoa11","all_gs_access_pct","all_with_row__gs_access_pct","doorstep_gs_access_pct","local_gs_access_pct","neighbourhood_gs_access_pct","combined_std__gs_access_pct","partialcombined_std_gs_access_pct"
"E01000135",1,1,0.525956284153005,0.465846994535519,1,0.423497267759563,0.683060109289617
"E01000136",1,1,0.251177394034537,0.466248037676609,1,0.30298273155416,0.530612244897959
"E01000137",1,1,0.169343065693431,0.0744525547445255,1,0.0408759124087591,0.338686131386861
"E01000138",1,1,0.0492957746478873,0.157746478873239,1,0.122535211267606,0.174647887323944
"E01000139",1,1,0.136942675159236,0,0.792993630573248,0,0.157643312101911
"E01000140",1,1,0,0.0187376725838264,1,0,0.0473372781065089
"E01000141",0.536082474226804,0.536082474226804,0,0,0.187857961053837,0,0
"E01000142",0.971631205673759,0.971631205673759,0,0,0.627152988855116,0,0
"E01000143",0.764018691588785,0.764018691588785,0,0,0.0467289719626168,0,0
"E01000144",1,1,0,0,0.92459826946848,0,0
"E01000145",0.956989247311828,0.956989247311828,0.0340501792114695,0.0448028673835125,0.693548387096774,0.121863799283154,0.121863799283154
"E01000146",1,1,0.0313807531380753,0.107740585774059,1,0.0617154811715481,0.100418410041841
"E01000147",1,1,0.0709342560553633,0.186851211072664,1,0.114186851211073,0.22318339100346
"E01000148",0.976916735366859,0.976916735366859,0,0,0.849958779884584,0,0
"E01000150",1,1,0.251072961373391,0.444206008583691,1,0.292918454935622,0.621244635193133
"E01000151",0.703296703296703,0.703296703296703,0,0,0.340659340659341,0,0
"E01000152",1,1,0,0.00106723585912487,1,0.00106723585912487,0.00106723585912487
"E01000153",1,1,0.625647668393782,0.0155440414507772,1,0.00518134715025907,0.677461139896373
"E01000154",0.587345254470426,0.587345254470426,0,0,0.00687757909215956,0,0
"E01000155",1,1,0.33972503617945,0,0.784008683068017,0,0.45767004341534
"E01000156",1,1,0.0561224489795918,0,0.434948979591837,0,0.0931122448979592
"E01000157",1,1,0,0.0173160173160173,1,0,0.0432900432900433
"E01000158",1,1,0.17595818815331,0.381533101045296,1,0.200348432055749,0.538327526132404
"E01000159",1,1,0.427941176470588,0.638235294117647,1,0.513235294117647,0.736764705882353
"E01000160",1,1,0.0705202312138728,0.209248554913295,1,0.13757225433526,0.239306358381503
"E01000161",0.979357798165138,0.979357798165138,0.189220183486239,0.254587155963303,0.979357798165138,0.135321100917431,0.275229357798165
"E01000162",0.989881956155143,0.989881956155143,0.00843170320404722,0.0826306913996627,0.989881956155143,0.0893760539629005,0.112984822934233
"E01000163",1,1,0.259803921568627,0.475490196078431,1,0.371323529411765,0.574754901960784
"E01000164",1,1,0.187878787878788,0,0.807575757575758,0,0.263636363636364
"E01000165",0.927350427350427,0.927350427350427,0,0,0.925925925925926,0,0
"E01000166",1,1,0.413235294117647,0.320588235294118,1,0.316176470588235,0.567647058823529
"E01000167",1,1,0.26497277676951,0.141560798548094,1,0.134301270417423,0.497277676950998
"E01000168",1,1,0.223350253807107,0,0.898477157360406,0,0.297800338409475
"E01000169",1,1,0.126358695652174,0,0.773097826086957,0,0.14945652173913
"E01000170",1,1,0,0,0.83739837398374,0,0
"E01000171",1,1,0.20852641334569,0,0.509731232622799,0,0.192771084337349
"E01000172",1,1,0.399366085578447,0.540412044374009,0.900158478605388,0.426307448494453,0.56418383518225
"E01000173",1,1,0.228346456692913,0.426771653543307,1,0.296062992125984,0.45511811023622
"E01000174",1,1,0.166666666666667,0.295061728395062,1,0.203703703703704,0.353086419753086
"E01000175",1,1,0.15506329113924,0.335443037974684,1,0.229430379746835,0.371835443037975
"E01000176",1,1,0.0493991989319092,0,0.787716955941255,0,0.0761014686248331
"E01000177",1,1,0.0440967283072546,0,0,0,0.0910384068278805
"E01000178",0.980528511821975,0.980528511821975,0.0222531293463143,0,0.00278164116828929,0,0.109874826147427
"E01000179",1,1,0,0,0.438931297709924,0,0
"E01000180",1,1,0,0,0.0730411686586985,0,0
"E01000181",1,1,0,0,0,0,0
"E01000182",1,1,0.237918215613383,0,0.301115241635688,0,0.309789343246592
"E01000183",1,1,0,0,0.64274322169059,0,0
"E01000184",1,1,0,0,0.995356037151703,0,0.00309597523219814
"E01000185",1,1,0.00638977635782748,0,0.702875399361022,0,0.0447284345047923
"E01000186",0.951171875,0.951171875,0.05078125,0.14453125,0.951171875,0.0703125,0.15625
"E01000187",1,1,0,0,1,0,0
"E01000188",0.954887218045113,0.954887218045113,0.242105263157895,0.350375939849624,0.932330827067669,0.324812030075188,0.452631578947368
"E01000189",1,1,0,0,1,0,0.0332681017612524
"E01000190",1,1,0.127334465195246,0.275042444821732,1,0.244482173174873,0.34125636672326
"E01000191",1,1,0.054481546572935,0.16871704745167,1,0.131810193321617,0.23725834797891
"E01000192",0.760898282694848,0.760898282694848,0,0,0.760898282694848,0,0
"E01000193",1,1,0.0829081632653061,0.198979591836735,1,0.123724489795918,0.25
"E01000194",0.804123711340206,0.804123711340206,0,0,0.510309278350515,0,0
"E01000195",0.913769123783032,0.913769123783032,0,0,0.913769123783032,0,0
"E01000196",1,1,0.174288179465056,0.420189818809318,1,0.213114754098361,0.495254529767041
"E01000197",1,1,0.166666666666667,0.166666666666667,1,0.164082687338501,0.322997416020672
"E01000198",1,1,0.291215403128761,0.429602888086643,1,0.283995186522262,0.510228640192539
"E01000199",1,1,0.200836820083682,0.412831241283124,1,0.227336122733612,0.453277545327755
"E01000200",1,1,0.124064171122995,0.190374331550802,1,0.12192513368984,0.231016042780749
"E01000201",1,1,0.145132743362832,0.27787610619469,1,0.180530973451327,0.470796460176991
"E01000202",1,1,0.155325443786982,0.21301775147929,1,0.125739644970414,0.251479289940828
"E01000203",1,1,0.0326944757609921,0.189402480270575,1,0.0473506200676437,0.315670800450958
"E01000204",1,1,0,0.0183968462549277,1,0.00657030223390276,0.0328515111695138
"E01000205",1,1,0.46129541864139,0.688783570300158,1,0.494470774091627,0.764612954186414
"E01000206",0.987616099071207,0.987616099071207,0.360681114551084,0.507739938080495,0.928792569659443,0.376160990712074,0.546439628482972
"E01000207",1,1,0.49144634525661,0.693623639191291,1,0.578538102643857,0.793157076205288
"E01000208",1,1,0.14327917282127,0,0.587887740029542,0,0.227474150664697
"E01000209",1,1,0.0893782383419689,0.00647668393782383,1,0,0.0919689119170984
"E01000210",1,1,0.178282009724473,0.358184764991896,1,0.231766612641815,0.484602917341977
"E01000211",1,1,0.0477117818889971,0.132424537487829,0.8412852969815,0.0662122687439143,0.138266796494645
"E01000212",1,1,0.211864406779661,0.166101694915254,0.98135593220339,0.110169491525424,0.310169491525424
"E01000213",1,1,0.350840336134454,0.294117647058824,1,0.237394957983193,0.445378151260504
"E01000214",1,1,0.0741656365883807,0.42150803461063,1,0.127317676143387,0.510506798516687
"E01000215",1,1,0.0719512195121951,0.189024390243902,1,0.0670731707317073,0.304878048780488
"E01000216",0.977542932628798,0.977542932628798,0,0,0.272126816380449,0,0
"E01000217",1,1,0.0939716312056738,0,0.946808510638298,0,0.118794326241135
"E01000218",0.934947049924357,0.934947049924357,0,0,0.800302571860817,0,0
"E01000219",1,1,0,0,0.950549450549451,0,0
"E01000220",1,1,0,0,0.939897698209719,0,0
"E01000221",1,1,0.439922480620155,0,0.893410852713178,0,0.472868217054264
"E01000222",1,1,0.530788177339901,0.286945812807882,0.733990147783251,0.289408866995074,0.8435960591133
"E01000223",1,1,0.34803337306317,0,0.588796185935638,0,0.356376638855781
