"lsoa11","all_gs_access_pct","all_with_row_gs_access_pct","doorstep_gs_access_pct","local_gs_access_pct","neighbourhood_gs_access_pct","combined_std_gs_access_pct","partialcombined_std_gs_access_pct"
"E01023611",1,1,0.17296511627907,0.234011627906977,0.998546511627907,0.199127906976744,0.334302325581395
"E01023612",1,1,0.232209737827715,0.35705368289638,0.662921348314607,0.111111111111111,0.404494382022472
"E01023613",1,1,0,0.00721153846153846,1,0,0.0192307692307692
"E01023614",0.913450292397661,0.919298245614035,0,0,0,0,0
"E01023615",0.722701149425287,1,0,0.0244252873563218,0.0172413793103448,0,0.0186781609195402
"E01023616",1,1,0.286369593709043,0.203800786369594,0.0766710353866317,0,0.306028833551769
"E01023617",0.981308411214953,1,0.0124610591900312,0.0482866043613707,0.808411214953271,0.043613707165109,0.0576323987538941
"E01023618",1,1,0.224860335195531,0.502793296089385,0.879888268156425,0.308659217877095,0.498603351955307
"E01023619",1,1,0.434194341943419,0.602706027060271,1,0.450184501845018,0.622386223862239
"E01023620",1,1,0.233885819521179,0.52670349907919,1,0.237569060773481,0.639042357274402
"E01023621",1,1,0.0587248322147651,0,0.931208053691275,0.0100671140939597,0.0587248322147651
"E01023622",0.749502982107356,0.978131212723658,0.415506958250497,0,0,0,0.500994035785288
"E01023623",0.702662721893491,0.994082840236686,0.201183431952663,0,0,0,0.223372781065089
"E01023624",0.48780487804878,1,0.0557491289198606,0,0.193379790940767,0.00522648083623693,0.0818815331010453
"E01023625",0.36480686695279,1,0.15450643776824,0,0.00429184549356223,0,0.201716738197425
"E01023626",0.879569892473118,1,0.201075268817204,0.00967741935483871,0.186021505376344,0.00537634408602151,0.234408602150538
"E01023627",0.563471502590674,0.909326424870466,0.0103626943005181,0.0155440414507772,0.268134715025907,0.0103626943005181,0.022020725388601
"E01023628",0.998893805309734,0.998893805309734,0.232300884955752,0,0,0,0.273230088495575
"E01023629",0.637376237623762,0.642326732673267,0.0668316831683168,0.00123762376237624,0.00247524752475248,0.00123762376237624,0.0940594059405941
"E01023630",1,1,0.25,0.00259067357512953,0.974093264248705,0.0142487046632124,0.259067357512953
"E01023631",1,1,0.225201072386059,0.319034852546917,1,0.249329758713137,0.324396782841823
"E01023632",0.611721611721612,1,0.124542124542125,0.00244200244200244,0.564102564102564,0,0.161172161172161
"E01023633",0.993630573248408,1,0.277070063694268,0.164012738853503,0.980891719745223,0.10828025477707,0.339171974522293
"E01023634",1,1,0.499210110584518,0.777251184834123,1,0.63349131121643,0.955766192733017
"E01023635",0.957055214723926,0.957055214723926,0.148773006134969,0.00306748466257669,0.461656441717791,0.00306748466257669,0.200920245398773
"E01023636",0.909876543209877,0.995061728395062,0.2,0.12716049382716,0.688888888888889,0.1,0.290123456790123
"E01023637",0.986373165618449,0.986373165618449,0.117400419287212,0.0178197064989518,0.90356394129979,0.00209643605870021,0.141509433962264
"E01023638",1,1,0.105797101449275,0.21304347826087,1,0.108695652173913,0.288405797101449
"E01023639",0.800362976406534,0.91470054446461,0.0762250453720508,0,0,0,0.107078039927405
"E01023640",1,1,0.191455696202532,0,0,0,0.224683544303797
"E01023641",1,1,0,0,0,0,0
"E01023642",0.794820717131474,0.784860557768924,0.0139442231075697,0,0,0,0.0219123505976096
"E01023643",1,1,0.115079365079365,0,0.0277777777777778,0,0.21031746031746
"E01023644",0.938511326860841,0.938511326860841,0.262135922330097,0.307443365695793,0.895361380798274,0.162891046386192,0.454153182308522
"E01023645",0.705627705627706,0.705627705627706,0.0548340548340548,0,0.318903318903319,0,0.0707070707070707
"E01023646",0.916342412451362,0.916342412451362,0.11284046692607,0,0.120622568093385,0,0.0836575875486381
"E01023647",0.71169686985173,0.71169686985173,0,0,0.490939044481054,0,0
"E01023648",0.396,0.566,0.006,0,0,0,0.01
"E01023649",1,1,0.304044630404463,0.126917712691771,0.98465829846583,0.103207810320781,0.417015341701534
"E01023650",1,1,0.10099573257468,0,0.401137980085349,0,0.126600284495021
"E01023651",1,1,0.017274472168906,0.0268714011516315,0.5489443378119,0.0153550863723608,0.0287907869481766
"E01023652",1,1,0.275039745627981,0.394276629570747,1,0.233704292527822,0.518282988871224
