"LSOA11CD","tasmax_avg"
"E01000184",23.651900877154
"E01000185",23.6172657968524
"E01000186",23.6039452412233
"E01000187",23.5602933018511
"E01000188",23.4357668468957
"E01000189",23.5727335102559
"E01000190",23.5844410349334
"E01000191",23.6332437269582
"E01000192",23.6505254704549
"E01000193",23.6527117441819
"E01000194",23.7039544845785
"E01000195",23.5392911331328
"E01000196",23.6486332695937
"E01000197",23.5702689016538
"E01000198",23.6951677691341
"E01000199",23.6922095085274
"E01000200",23.6994973131164
"E01000201",23.7339970875086
"E01000202",23.6726174568576
"E01000203",23.668889635868
"E01000204",23.6859148805109
"E01000205",23.6623880311156
"E01000206",23.5865606633236
"E01000207",23.6655277569728
"E01000208",23.5939432948833
"E01000209",23.6897904881229
"E01000210",23.6416054729883
"E01000211",23.7305487999955
"E01000212",23.6812559032138
"E01000213",23.6570219696501
"E01000214",23.6511037920049
"E01000215",23.75
"E01000216",23.75
"E01000217",23.7494961014462
"E01000218",23.75
"E01000219",23.785338790862
"E01000220",23.7531439882216
"E01000221",23.8196892594582
"E01000222",23.8022732342839
"E01000223",23.795349622498
"E01000224",23.7723818679979
"E01000225",23.7433080020705
"E01000226",23.704180566834
"E01000227",23.6585806927858
"E01000228",23.4211525845871
"E01000229",23.5961612764702
"E01000230",23.5970653021838
"E01000231",23.5941736350236
"E01000232",23.6200188036747
"E01000233",23.6495019107903
"E01000234",23.6233846407655
"E01000235",23.6928587796096
"E01000236",23.7295759126181
"E01000237",23.7049145483948
"E01000238",23.6812352713963
"E01000239",23.6844101673177
"E01000240",23.7075977887831
"E01000241",23.6893611614177
"E01000242",23.6716057177555
"E01000243",23.6709936992115
"E01000244",23.6797097359907
"E01000245",23.6856186016462
"E01000246",23.4308097958267
"E01000247",23.5272875393944
"E01000248",23.294582734202
"E01000249",23.3435448055882
"E01000250",23.3185290155354
"E01000251",23.563410641656
"E01000252",23.5060309476426
"E01000253",23.301433639562
"E01000254",23.2974062892101
"E01000255",23.4904641947511
"E01000256",23.6377759277403
"E01000257",23.6611290484862
"E01000258",23.556639519825
"E01000259",23.6649743087462
"E01000260",23.6687936721835
"E01000261",23.406143756837
"E01000262",23.5492424972666
"E01000263",23.5163406627545
"E01000264",23.5755838916811
"E01000265",23.59
"E01000266",23.5561725508009
"E01000267",23.5762387037451
"E01000268",23.5589421107983
"E01000269",23.5300126511146
"E01000270",23.575482910295
"E01000271",23.537317481683
"E01000272",23.5581833515984
"E01000273",23.524279602886
"E01000274",23.5876731304257
"E01000275",23.6188374375782
"E01000276",23.5938878542153
"E01000277",23.6495482799637
"E01000278",23.6269154954692
"E01000279",23.448740708986
"E01000280",23.5368826533012
"E01000281",23.52
"E01000282",23.5410317818488
"E01000283",23.562825188797
"E01000284",23.5423946296099
"E01000285",23.454656735947
"E01000286",23.4066695566849
"E01000287",23.47
"E01000288",23.5147249136509
"E01000289",23.5068757367062
"E01000290",23.3405022823393
"E01000291",23.4984040264295
"E01000292",23.3656328574617
"E01000293",23.3766480077836
"E01000294",23.3458908084749
"E01000295",23.5718288154369
"E01000296",23.6134489800529
"E01000297",23.5841660662607
"E01000298",23.5911812254087
"E01000299",23.5783901535597
"E01000300",23.6453021020333
"E01000301",23.6157193117008
"E01000302",23.6014950362388
"E01000303",23.6199816822752
"E01000304",23.6786247136675
"E01000305",23.8187883292927
"E01000306",23.7093130711627
"E01000307",23.8030909564473
"E01000308",23.7994785622979
"E01000309",23.6972623195889
"E01000310",23.7289606945267
"E01000311",23.7494042555786
"E01000312",23.7811819833066
"E01000313",23.748617626174
"E01000314",23.7
"E01000315",23.6503892486876
"E01000316",23.5887018199908
"E01000317",23.5913213738828
"E01000318",23.5768915000115
"E01000319",23.6051215214194
"E01000320",23.5565388906352
"E01000321",23.5479128164668
"E01000322",23.5610989528061
"E01000323",23.563045499099
"E01000324",23.6495562796585
"E01000325",23.9278102792276
"E01000326",23.9909165851253
"E01000327",23.84728482812
"E01000328",23.9574194130878
"E01000329",23.933959125703
"E01000330",23.8523260435399
"E01000331",24.0887630516549
"E01000332",23.8299973862655
"E01000333",23.8088763030392
"E01000334",23.7927822383511
"E01000335",23.9775365938483
"E01000336",23.9528453888489
"E01000337",23.8260808700877
"E01000338",23.8434441863069
"E01000339",23.9365617889902
"E01000340",23.8727801436645
"E01000341",23.89
"E01000342",23.9264228186229
"E01000343",23.9126582985387
"E01000344",23.9518414595335
"E01000345",23.97
"E01000346",23.9605390605787
"E01000347",23.9100004856501
"E01000348",24.0008410516023
"E01000349",23.994337082931
"E01000350",23.9851336626709
"E01000351",24.0186742293582
"E01000352",23.9374709793161
"E01000353",23.8112180513281
"E01000354",23.7937600359048
"E01000355",23.83
"E01000356",23.8039512471358
"E01000357",23.8096299762149
"E01000358",23.8027974385768
"E01000359",23.7468074385976
"E01000360",23.86
"E01000361",23.932224714632
"E01000362",23.9162235647572
"E01000363",23.9771870328836
"E01000364",24.022738949644
"E01000365",23.8438127916492
"E01000366",23.8504569664747
"E01000367",23.9936183080405
"E01000368",23.9893950205846
"E01000369",23.8949396355411
"E01000370",23.8807788810951
"E01000371",23.9234795842343
"E01000372",23.863108575583
"E01000373",24.03
"E01000374",24.1541333918849
"E01000375",24.1599345162559
"E01000376",24.0747172112358
"E01000377",24.0233252499861
"E01000378",24.1283543512525
"E01000379",24.145973715249
"E01000380",24.0490179001983
"E01000381",24.0877524809337
"E01000382",24.034802718739
"E01000383",24.0485564504881
"E01000384",23.9306388227162
"E01000385",24.0892270920825
"E01000386",24.0593037003309
"E01000387",24.0296062756999
"E01000388",23.8421525951643
"E01000389",23.8718540250827
"E01000390",23.9337324833819
"E01000391",23.9103320628218
"E01000392",23.8294359913088
"E01000393",23.860276806087
"E01000394",23.8564384125294
"E01000395",23.6330928932815
"E01000396",23.6965578081692
"E01000398",23.739010729426
"E01000399",23.7370734254489
"E01000400",23.7421802020271
"E01000401",23.7864632764037
"E01000402",23.8302349286335
"E01000403",24.0060205009451
"E01000404",23.99
"E01000405",24.0001214070689
"E01000406",23.9244584804418
"E01000407",23.8889231188517
"E01000408",23.9988535294715
"E01000409",23.8039703930285
"E01000410",23.7441253907699
"E01000411",23.8113895056921
"E01000412",23.6917315415661
"E01000413",23.8928859223312
"E01000414",23.7992585806628
"E01000415",23.75
"E01000416",23.96
"E01000417",23.8215482614423
"E01000418",23.8743362290123
"E01000419",23.7022996419019
"E01000420",23.7566183591121
"E01000421",23.73643595092
"E01000422",23.96
"E01000423",23.8900215707946
"E01000424",23.944968837712
"E01000425",23.9240264781544
"E01000426",23.9221486351733
"E01000427",23.8630799960717
"E01000428",23.9012082770572
"E01000429",24.0606575414481
"E01000430",24.1204109309708
"E01000431",24.03
"E01000432",24.0829875154072
"E01000433",24.0509947754288
"E01000434",24.1452793723426
"E01000435",24.04
"E01000436",23.7581404250656
"E01000437",23.83
"E01000438",23.8407140692787
"E01000439",23.8584629244582
"E01000440",23.8217181299482
"E01000441",23.8354366104722
"E01000442",23.7980133152509
"E01000443",24.0364523522466
"E01000444",24.088909211809
"E01000445",24.0736479357469
"E01000446",24.0417935826417
"E01000447",24.1130330851578
"E01000448",24.0670657834374
"E01000449",24.0569902659551
"E01000450",23.7191579225007
"E01000451",23.7479231639032
"E01000452",23.7668597291729
"E01000453",23.8078492618322
"E01000454",23.792553532954
"E01000455",23.7940446966685
"E01000456",23.8099743511663
"E01000457",23.9485148197697
"E01000458",23.9917735320796
"E01000459",23.9211977062856
"E01000460",23.9940771534013
"E01000461",24.0111897858354
"E01000462",23.9846582739067
"E01000463",23.9546159721888
"E01000464",23.9704846993513
"E01000465",23.9817147433117
"E01000466",23.9616905725545
"E01000467",23.9228336198948
"E01000468",23.9219524259623
"E01000469",23.9392870488235
"E01000470",23.9469423619716
"E01000471",23.87
"E01000472",23.87
"E01000473",23.8418768041322
"E01000474",23.83
"E01000475",23.8389409972413
"E01000476",23.8474121168002
"E01000477",23.8654686382577
"E01000478",23.8675202501281
"E01000479",23.7585794431951
"E01000480",23.7559027338152
"E01000481",23.7460352913072
"E01000482",23.8039260250769
"E01000483",23.8284424126788
"E01000484",23.7829859798975
"E01000485",23.79
"E01000486",23.7415692258807
"E01000487",23.7924923343039
"E01000488",23.81
"E01000489",23.7734183707498
"E01000490",23.8
"E01000491",23.7731178254994
"E01000492",23.7783864205974
"E01000493",23.7888416690006
"E01000494",23.76
"E01000495",23.7874323261167
"E01000497",23.737695362165
"E01000498",23.8018017597448
"E01000499",23.7810568183592
"E01000501",23.72
"E01000502",23.8023331757236
"E01000503",23.7674724423776
"E01000504",23.8363698442893
"E01000505",23.85
"E01000506",23.8526411725489
"E01000507",23.85
"E01000508",23.8666006701887
"E01000509",23.81
"E01000510",23.8269428245836
"E01000511",23.85
"E01000512",23.85
"E01000513",23.7517211033249
"E01000514",23.7
"E01000515",23.7382308364603
"E01000516",23.7359578145914
"E01000517",23.76
"E01000518",23.7116173421041
"E01000519",23.7260786997712
"E01000520",23.7245954897311
"E01000521",23.8589902940884
"E01000522",23.8619674529005
"E01000523",23.8411712767458
"E01000524",23.8414878692571
"E01000525",23.8481247577222
"E01000526",23.8700042622711
"E01000527",23.869062859689
"E01000528",23.8759170401065
"E01000530",23.7998065171894
"E01000531",23.8229730506448
"E01000532",23.8657964893966
"E01000533",23.8302673120407
"E01000534",23.8
"E01000535",23.8068610115553
"E01000536",23.7110616722458
"E01000538",23.7433577926223
"E01000539",23.7708205622471
"E01000540",23.7298833264693
"E01000541",23.7411025178235
"E01000543",23.7809625730771
"E01000544",23.9232142397642
"E01000545",23.8003473794467
"E01000546",23.8013751041232
"E01000547",23.8625272846147
"E01000548",23.8944151143398
"E01000549",23.8729391334721
"E01000550",23.91
"E01000551",23.8759286219855
"E01000552",23.9153114263526
"E01000553",23.8152668249306
"E01000554",23.8193655737114
"E01000555",23.8377266274404
"E01000556",23.83
"E01000557",23.83
"E01000558",23.8013368834901
"E01000559",23.8220814764294
"E01000560",23.7972345518437
"E01000561",23.7909880722188
"E01000562",23.581651233979
"E01000563",23.6624527111949
"E01000564",23.72809077092
"E01000565",23.6544087805308
"E01000566",23.7206676587823
"E01000567",23.6290894728553
"E01000568",23.6844524221536
"E01000569",23.7012423596571
"E01000570",23.755091590686
"E01000571",23.782835363508
"E01000572",23.7382000335736
"E01000573",23.7494850389271
"E01000574",23.7427724183607
"E01000575",23.7894019839211
"E01000576",23.8088266034565
"E01000577",23.7548871983721
"E01000578",23.8085126330189
"E01000579",23.9096861657246
"E01000580",23.8568726521718
"E01000581",23.78
"E01000582",23.7873175575911
"E01000583",23.87
"E01000584",23.7805481915305
"E01000585",23.8042994988351
"E01000586",23.8482337512591
"E01000587",23.740136550631
"E01000588",23.7308133773785
"E01000589",23.7428784826921
"E01000590",23.7370581134465
"E01000591",23.7468294210982
"E01000592",23.7114535107059
"E01000593",23.7148141650107
"E01000594",23.7443580377897
"E01000595",23.8894707958584
"E01000596",23.8899236918933
"E01000599",23.8800535350037
"E01000600",23.8653935197271
"E01000601",23.8753790422085
"E01000602",23.8818558844085
"E01000603",23.8848949890583
"E01000604",23.8867694769731
"E01000605",23.8823571276203
"E01000606",23.6532260427763
"E01000607",23.7317278135769
"E01000608",23.685470627948
"E01000609",23.6771576216084
"E01000610",23.76
"E01000611",23.6813937841105
"E01000612",23.7672257095084
"E01000613",23.7553243985132
"E01000615",23.8222746067723
"E01000616",23.77
"E01000617",23.8165981137262
"E01000618",23.848442979674
"E01000619",23.8440656023715
"E01000620",23.858717666012
"E01000621",23.87
"E01000622",23.8085679374034
"E01000623",23.7666637209857
"E01000624",23.7813517076618
"E01000625",23.8071330307147
"E01000626",23.8397591321567
"E01000627",23.830407801363
"E01000628",23.8639830544488
"E01000629",23.7628560546223
"E01000630",23.8187576648158
"E01000631",23.7959104120621
"E01000632",23.8128692287764
"E01000633",23.8023349606939
"E01000634",23.7614251275086
"E01000635",23.7675291169698
"E01000636",23.7837286214124
"E01000637",23.8238537391701
"E01000638",23.8535522664447
"E01000639",23.7954688734613
